kind,id,name,x,y,u,v
V,0,东门,0.000,0.000,,
V,1,图书馆,60.000,5.000,,
V,2,教学楼A,65.000,40.000,,
V,3,教学楼B,95.000,45.000,,
V,4,实验楼,120.000,50.000,,
V,5,食堂,120.000,10.000,,
V,6,体育馆,150.000,20.000,,
V,7,宿舍区,130.000,-30.000,,
V,8,行政楼,90.000,5.000,,
V,9,医务室,100.000,-25.000,,
V,10,西门,200.000,0.000,,
V,11,南门,120.000,-60.000,,
E,,,,,0,1
E,,,,,0,2
E,,,,,0,11
E,,,,,1,2
E,,,,,1,8
E,,,,,1,5
E,,,,,2,3
E,,,,,2,5
E,,,,,3,8
E,,,,,3,4
E,,,,,4,5
E,,,,,5,7
E,,,,,5,11
E,,,,,5,8
E,,,,,6,7
E,,,,,6,10
E,,,,,7,10
E,,,,,8,9
E,,,,,9,11
E,,,,,10,11
